YEAR,MONTH,DAY,DAY_OF_WEEK,AIRLINE,FLIGHT_NUMBER,TAIL_NUMBER,ORIGIN_AIRPORT,DESTINATION_AIRPORT,SCHEDULED_DEPARTURE,DEPARTURE_TIME,DEPARTURE_DELAY,TAXI_OUT,WHEELS_OFF,SCHEDULED_TIME,ELAPSED_TIME,AIR_TIME,DISTANCE,WHEELS_ON,TAXI_IN,SCHEDULED_ARRIVAL,ARRIVAL_TIME,ARRIVAL_DELAY,DIVERTED,CANCELLED,CANCELLATION_REASON,AIR_SYSTEM_DELAY,SECURITY_DELAY,AIRLINE_DELAY,LATE_AIRCRAFT_DELAY,WEATHER_DELAY
2015,1,11,7,WN,749,N241WN,MDW,BOS,1320,1348,28,20,1408,135,130,102,861,1650,8,1635,1658,23,0,0,,0,0,23,0,0
2015,1,11,7,WN,4327,N489WN,MDW,CMH,1320,1335,15,15,1350,70,72,52,283,1542,5,1530,1547,17,0,0,,2,0,15,0,0
2015,1,11,7,WN,443,N8629A,MDW,RDU,1320,1324,4,10,1334,110,103,88,632,1602,5,1610,1607,-3,0,0,,,,,,
2015,1,11,7,WN,3389,N917WN,ORF,BWI,1320,1320,0,8,1328,60,60,35,159,1403,17,1420,1420,0,0,0,,,,,,
2015,1,11,7,WN,1742,N252WN,PHX,OKC,1320,1319,-1,9,1328,120,112,100,833,1608,3,1620,1611,-9,0,0,,,,,,
2015,1,11,7,WN,4910,N743SW,BUR,OAK,1320,1318,-2,6,1324,70,69,54,325,1418,9,1430,1427,-3,0,0,,,,,,
2015,1,11,7,WN,336,N352SW,DEN,TUL,1320,1338,18,12,1350,90,90,74,541,1604,4,1550,1608,18,0,0,,0,0,16,2,0
2015,1,11,7,WN,586,N385SW,HOU,ATL,1320,1322,2,9,1331,115,107,92,696,1603,6,1615,1609,-6,0,0,,,,,,
2015,1,11,7,WN,3310,N297WN,ICT,DAL,1320,1321,1,14,1335,75,77,58,333,1433,5,1435,1438,3,0,0,,,,,,
2015,1,11,7,WN,689,N7713A,LAS,ABQ,1320,1403,43,13,1416,85,79,62,486,1618,4,1545,1622,37,0,0,,0,0,16,21,0
2015,1,11,7,WN,4555,N483WN,LAS,PHX,1320,1549,149,12,1601,70,66,47,255,1748,7,1530,1755,145,0,0,,0,0,0,145,0
2015,1,11,7,WN,1621,N7732A,SDF,TPA,1320,1313,-7,8,1321,125,123,106,727,1507,9,1525,1516,-9,0,0,,,,,,
2015,1,11,7,WN,1531,N231WN,TPA,ATL,1320,1319,-1,13,1332,100,83,65,406,1437,5,1500,1442,-18,0,0,,,,,,
2015,1,11,7,US,1970,N741UW,CLT,BWI,1320,1315,-5,15,1330,82,78,53,361,1423,10,1442,1433,-9,0,0,,,,,,
2015,1,11,7,WN,505,N248WN,BDL,BWI,1320,1319,-1,8,1327,75,63,51,283,1418,4,1435,1422,-13,0,0,,,,,,
2015,1,11,7,AA,212,N3BLAA,SFO,DFW,1320,1329,9,28,1357,205,215,175,1464,1852,12,1845,1904,19,0,0,,10,0,4,5,0
2015,1,11,7,AA,368,N3GUAA,ORD,LGA,1320,1314,-6,19,1333,123,123,99,733,1612,5,1623,1617,-6,0,0,,,,,,
2015,1,11,7,AA,1079,N001AA,ELP,DFW,1320,1313,-7,19,1332,103,107,77,551,1549,11,1603,1600,-3,0,0,,,,,,
2015,1,11,7,AA,1266,N3HEAA,RDU,MIA,1320,1314,-6,12,1326,128,125,104,700,1510,9,1528,1519,-9,0,0,,,,,,
2015,1,11,7,AA,1269,N3LDAA,DFW,DTW,1320,1329,9,17,1346,151,146,119,986,1645,10,1651,1655,4,0,0,,,,,,
2015,1,11,7,AA,1418,N3GAAA,HDN,DFW,1320,1333,13,20,1353,128,133,102,769,1635,11,1628,1646,18,0,0,,5,0,1,12,0
2015,1,11,7,AS,557,N513AS,LAX,PDX,1320,1324,4,38,1402,140,164,123,834,1605,3,1540,1608,28,0,0,,28,0,0,0,0
2015,1,11,7,AS,661,N560AS,DFW,SEA,1320,1318,-2,16,1334,270,245,224,1660,1518,5,1550,1523,-27,0,0,,,,,,
2015,1,11,7,DL,773,N806DN,PDX,ATL,1320,1316,-4,9,1325,272,265,249,2172,2034,7,2052,2041,-11,0,0,,,,,,
2015,1,11,7,DL,2157,N3768,SEA,SLC,1320,1456,96,15,1511,114,106,85,689,1736,6,1614,1742,88,0,0,,0,0,74,14,0
2015,1,11,7,DL,1712,N659DL,MSP,TPA,1320,1317,-3,14,1331,186,183,165,1306,1716,4,1726,1720,-6,0,0,,,,,,
2015,1,11,7,DL,2375,N371DA,SFO,SLC,1320,1320,0,26,1346,107,116,84,599,1610,6,1607,1616,9,0,0,,,,,,
2015,1,11,7,EV,2521,N880AS,DFW,TYS,1320,1523,123,22,1545,115,115,89,772,1814,4,1615,1818,123,0,0,,0,0,31,92,0
2015,1,11,7,EV,3258,N16963,ORD,CWA,1320,1425,65,18,1443,65,59,37,212,1520,4,1425,1524,59,0,0,,55,0,0,4,0
2015,1,11,7,EV,3928,N14950,EWR,GSO,1320,1319,-1,34,1353,103,112,74,445,1507,4,1503,1511,8,0,0,,,,,,
2015,1,11,7,EV,3944,N14558,ORD,GSP,1320,1316,-4,17,1333,106,109,88,578,1601,4,1606,1605,-1,0,0,,,,,,
2015,1,11,7,EV,4165,N16918,ORD,FNT,1320,1343,23,14,1357,70,59,39,223,1536,6,1530,1542,12,0,0,,,,,,
2015,1,11,7,EV,4473,N14902,ORD,TVC,1320,1328,8,18,1346,69,63,41,224,1527,4,1529,1531,2,0,0,,,,,,
2015,1,11,7,EV,5310,N615QX,MHT,LGA,1320,1311,-9,12,1323,80,72,51,195,1414,9,1440,1423,-17,0,0,,,,,,
2015,1,11,7,HA,46,N582HA,OGG,SJC,1320,1403,43,17,1420,300,296,275,2355,2055,4,2020,2059,39,0,0,,0,0,0,39,0
2015,1,11,7,HA,148,N487HA,HNL,KOA,1320,1317,-3,11,1328,44,42,26,163,1354,5,1404,1359,-5,0,0,,,,,,
2015,1,11,7,MQ,3134,N526MQ,STL,LGA,1320,1317,-3,26,1343,132,140,110,888,1633,4,1632,1637,5,0,0,,,,,,
2015,1,11,7,MQ,3267,N611MQ,DFW,GRK,1320,1353,33,11,1404,47,40,27,134,1431,2,1407,1433,26,0,0,,0,0,20,6,0
2015,1,11,7,MQ,3386,N695MQ,DFW,CLL,1320,1315,-5,25,1340,52,67,36,164,1416,6,1412,1422,10,0,0,,,,,,
2015,1,11,7,MQ,3609,N690MQ,DFW,EVV,1320,1330,10,14,1344,107,116,88,642,1512,14,1507,1526,19,0,0,,9,0,0,3,7
2015,1,11,7,MQ,3674,N9EAMQ,LGA,ATL,1320,1315,-5,23,1338,154,163,132,762,1550,8,1554,1558,4,0,0,,,,,,
2015,1,11,7,OO,5334,N962SW,MAF,DEN,1320,1323,3,11,1334,114,108,91,563,1405,6,1414,1411,-3,0,0,,,,,,
2015,1,11,7,EV,5791,N16525,IAH,LFT,1320,1349,29,14,1403,57,53,36,201,1439,3,1417,1442,25,0,0,,0,0,0,25,0
2015,1,11,7,OO,6263,N237SW,FAT,SFO,1320,1504,104,19,1523,64,64,36,158,1559,9,1424,1608,104,0,0,,0,0,26,78,0
2015,1,11,7,OO,5159,N709SK,ORD,CMH,1320,1329,9,17,1346,79,76,46,296,1532,13,1539,1545,6,0,0,,,,,,
2015,1,11,7,UA,387,N802UA,ORD,BDL,1321,1328,7,15,1343,127,113,94,783,1617,4,1628,1621,-7,0,0,,,,,,
2015,1,11,7,DL,2625,N367NW,HDN,ATL,1321,1310,-11,31,1341,191,198,157,1340,1818,10,1832,1828,-4,0,0,,,,,,
2015,1,11,7,EV,4102,N14148,ABQ,IAH,1321,1352,31,15,1407,128,124,99,744,1646,10,1629,1656,27,0,0,,27,0,0,0,0
2015,1,11,7,EV,4244,N11119,DEN,OKC,1321,1314,-7,17,1331,97,97,73,495,1544,7,1558,1551,-7,0,0,,,,,,
2015,1,11,7,EV,4201,N18120,DAY,EWR,1321,1554,153,19,1613,108,112,86,533,1739,7,1509,1746,157,0,0,,4,0,0,153,0
2015,1,11,7,MQ,3031,N508MQ,ATL,LGA,1321,1320,-1,9,1329,129,109,94,762,1503,6,1530,1509,-21,0,0,,,,,,
2015,1,11,7,OO,5452,N976SW,SGU,DEN,1321,1406,45,6,1412,98,90,73,517,1525,11,1459,1536,37,0,0,,0,0,0,37,0
2015,1,11,7,OO,5527,N920SW,MSN,DEN,1321,1311,-10,12,1323,155,163,142,826,1445,9,1456,1454,-2,0,0,,,,,,
2015,1,11,7,OO,4991,N495CA,BFL,DEN,1321,1328,7,14,1342,144,139,120,845,1642,5,1645,1647,2,0,0,,,,,,
2015,1,11,7,B6,1052,N524JB,SJU,TPA,1322,1532,130,47,1619,192,223,170,1237,1809,6,1534,1815,161,0,0,,31,0,90,40,0
2015,1,11,7,DL,2238,N692DL,ATL,DCA,1322,1326,4,9,1335,99,93,77,547,1452,7,1501,1459,-2,0,0,,,,,,
2015,1,11,7,EV,4999,N846AS,MOB,ATL,1322,1316,-6,13,1329,67,74,46,302,1515,15,1529,1530,1,0,0,,,,,,
2015,1,11,7,OO,6313,N652BR,SJC,DEN,1322,1320,-2,13,1333,156,150,132,948,1645,5,1658,1650,-8,0,0,,,,,,
2015,1,11,7,AA,316,N3KYAA,DEN,DFW,1323,1334,11,15,1349,112,114,89,641,1618,10,1615,1628,13,0,0,,,,,,
2015,1,11,7,AS,61,N764AS,CDV,ANC,1323,1307,-16,5,1312,42,43,34,160,1346,4,1405,1350,-15,0,0,,,,,,
2015,1,11,7,B6,1401,N637JB,JFK,FLL,1323,1318,-5,25,1343,186,191,157,1069,1620,9,1629,1629,0,0,0,,,,,,
2015,1,11,7,DL,1249,N698DL,PHX,JFK,1323,1339,16,17,1356,276,278,248,2153,2004,13,1959,2017,18,0,0,,2,0,0,16,0
2015,1,11,7,DL,2318,N348NB,BZN,MSP,1323,1322,-1,29,1351,136,143,105,874,1636,9,1639,1645,6,0,0,,,,,,
2015,1,11,7,B6,190,N583JB,SAN,JFK,1323,1408,45,23,1431,306,319,290,2446,2221,6,2129,2227,58,0,0,,13,0,10,35,0
2015,1,11,7,B6,1521,N588JB,PDX,LGB,1323,1316,-7,11,1327,135,125,111,846,1518,3,1538,1521,-17,0,0,,,,,,
2015,1,11,7,EV,5442,N851AS,AEX,ATL,1323,1335,12,13,1348,97,99,77,500,1605,9,1600,1614,14,0,0,,,,,,
2015,1,11,7,MQ,3020,N520MQ,ORD,CLE,1323,1329,6,16,1345,72,66,46,315,1531,4,1535,1535,0,0,0,,,,,,
